,,,R1,R2,R3,R4,R5,R6,R7,R8,Wins,Spk
30,🦊IIUM 2,ESL,"vs 🤝
260.00","vs 🐿
265.83","vs 🎺
265.50","vs 🎲
263.75","vs 📦
273.00","vs 👏
270.67","vs 🍍
268.83","vs 🤸
271.00",5,2138.58
31,💔Otago 1,,"vs 🐤
267.00","vs 🤞
267.00","vs 🍍
263.50","vs 🤓
269.50","vs 🐢
267.50","vs 💭
267.00","vs 🐻
263.50","vs 🌻
270.50",5,2135.5
32,🐿Otago 2,,"vs 🤓
265.00","vs 🦊
263.17","vs 📦
264.00","vs 🏁
267.17","vs 🤸
263.00","vs 🎼
266.00","vs 🛥
269.75","vs 🐢
269.00",5,2127.08
33,💭Taylor's 2,ESL,"vs 🌗
271.50","vs 🐢
271.50","vs 🤝
268.50","vs 👻
267.00","vs 🔌
270.50","vs 💔
265.00","vs 🥛
266.00","vs 📅
270.00",4,2150
34,🤸UQ 3,,"vs 🚰
265.50","vs 🎓
270.00","vs 📿
266.50","vs 🔥
266.00","vs 🐿
273.50","vs 🍕
269.50","vs 🚬
268.50","vs 🦊
269.50",4,2149
35,🤓UQ 1,,"vs 🐿
270.50","vs 🤝
267.25","vs 🏷
268.50","vs 💔
268.50","vs 🍕
266.00","vs 🍔
268.17","vs 💦
266.50","vs 🤠
268.17",4,2143.58
36,🆘UQ 2,,"vs 🎺
268.67","vs 🤠
265.50","vs 💰
263.50","vs 💅
269.50","vs 🚠
266.00","vs 🤘
263.50","vs 👶
268.50","vs 👔
276.50",4,2141.67
37=,⛳UM 1,,"vs 🎼
267.50","vs 🌻
268.00","vs 💦
267.50","vs 🤠
268.00","vs 🍒
266.00","vs 🌲
272.00","vs 📅
261.00","vs 😑
271.00",4,2141
37=,🐢Melbourne 3,,"vs 💦
266.50","vs 💭
270.00","vs ⛈
268.50","vs 🥛
271.00","vs 💔
264.50","vs 📅
265.00","vs 🌻
268.50","vs 🐿
267.00",4,2141
39,👾IIUM 4,ESL,"vs 👂
268.50","vs 🎠
268.50","vs 🚠
268.00","vs 📅
270.50","vs 🏷
265.75","vs 💦
264.00","vs 👏
268.50","vs ⛈
266.75",4,2140.5
40,🥕MAD 2,,"vs 🐻
268.25","vs 🍍
268.50","vs 🚬
270.00","vs 🎃
270.50","vs 🥛
267.50","vs 🥃
266.00","vs 🚁
261.00","vs 🍠
267.50",4,2139.25
41=,🍕IBA-DU 2,ESL,"vs ⏳
266.50","vs 📿
265.00","vs 💍
264.50","vs 🔌
265.50","vs 🤓
267.50","vs 🤸
267.00","vs 💅
269.67","vs 🦇
272.50",4,2138.17
41=,🖤WestBengal 1,,"vs 👶
274.00","vs 💊
260.00","vs 🍠
268.50","vs 🌻
268.00","vs 🍔
268.50","vs 🎠
268.50","vs 💫
266.67","vs 🏳
264.00",4,2138.17
43,🍓UoA 3,,"vs 🥋
270.33","vs 🤘
270.50","vs 📅
264.50","vs 🤖
263.50","vs 💊
267.00","vs 🌻
267.00","vs 🍠
266.25","vs 💅
269.00",4,2138.08
44,🥃NSU 1,ESL,"vs 🥛
263.00","vs 🎄
268.50","vs 🌗
269.25","vs 🙃
267.50","vs 🍠
265.00","vs 🥕
269.50","vs 🎓
267.50","vs 🔥
265.50",4,2135.75
45,🍎UM 2,ESL,"vs 👻
268.00","vs ⬛
264.17","vs 🤒
266.17","vs ⚓
266.83","vs 🦇
266.50","vs 🙃
267.00","vs 🏷
267.50","vs 🍍
268.00",4,2134.17
46,🎲UWA 2,,"vs 👔
267.50","vs 🐍
268.50","vs 🚁
263.50","vs 🦊
266.00","vs 🚰
267.50","vs ⛈
267.00","vs 😑
267.67","vs 🍝
266.00",4,2133.67
47,🥛UOW 2,,"vs 🥃
266.50","vs 🚔
264.50","vs 🦇
266.00","vs 🐢
266.00","vs 🥕
265.00","vs 👂
268.17","vs 💭
267.00","vs ⛸
266.50",4,2129.67
